line,SVG_score,canopy_height,canopy_volume_index,canopy_coverage,ExGR,NGRDI
PI363781,2.885727481,0.337706115,0.375057787,0.165458687,0.182994946,0.116717471
PI363782,3.318391553,0.362887007,0.464412507,0.183124013,0.185484038,0.117278512
PI363820,2.066962316,0.25982634,0.293702105,0.151976819,0.167945054,0.1127248
PI363823,2.308465619,0.324091892,0.365507202,0.150274803,0.1746961,0.109705234
PI363824,1.790386774,0.307620942,0.268369492,0.13736064,0.150120709,0.110287328
PI363825,2.312566781,0.293716483,0.341419848,0.150050788,0.180236099,0.116398379
PI363828,2.498300984,0.308135444,0.340023132,0.170186086,0.181360488,0.113881463
PI363836,2.706006914,0.3188199,0.418516546,0.190293324,0.218453175,0.132738774
PI363840,2.543746509,0.355498956,0.452607398,0.166803512,0.178822166,0.115650732
PI363869,2.536046152,0.322082099,0.455966336,0.191128347,0.203546209,0.126887641
PI363909,3.057435781,0.369090078,0.523017768,0.191586192,0.1967015,0.119883614
PI363974,2.819847469,0.296771136,0.377141011,0.185046318,0.18235174,0.113390583
PI363988,2.787201034,0.354413386,0.464036916,0.186807198,0.182954692,0.115968503
PI363989,2.602213855,0.350554227,0.464560884,0.180525982,0.180106197,0.112466067
PI364007,4.045118567,0.453179162,0.677936648,0.208166577,0.211776583,0.125005636
PI364015,2.943274839,0.351896359,0.396451572,0.163148067,0.161675966,0.108686823
PI364016,3.252952641,0.397464545,0.539290379,0.192952,0.183545314,0.112742307
PI364028,2.60811181,0.342938552,0.393541126,0.157110142,0.169116589,0.108446909
PI364047,3.08998351,0.363232611,0.521094175,0.186866592,0.206888215,0.117996474
PI364049,3.653578466,0.398436961,0.611732583,0.230941286,0.223417921,0.132296681
PI364070,3.439569721,0.408594287,0.591044861,0.209252369,0.204173784,0.12307074
PI364119,2.765655525,0.343791332,0.510830497,0.203745218,0.198086105,0.115338686
PI364123,2.982973293,0.394181582,0.544435018,0.206366781,0.199961164,0.123177817
PI364167,2.267401678,0.312007075,0.378206384,0.163901326,0.205626676,0.125806218
PI364205,3.175286844,0.339466947,0.495306308,0.191932393,0.199320266,0.12646505
PI364213,2.916604698,0.31271319,0.405145798,0.182993748,0.190348392,0.118793138
PI364214,2.689892014,0.367524478,0.452659879,0.159154909,0.186593116,0.115103854
PI364218,3.050765931,0.367621315,0.481799134,0.18105284,0.192488884,0.120371327
PI364224,2.802696162,0.330512019,0.362785043,0.15763165,0.178942764,0.111865535
PI364225,3.006170858,0.366329944,0.50464777,0.180836097,0.190405497,0.114352225
PI364230,3.138301556,0.361645755,0.461431368,0.172360891,0.157492009,0.108509127
PI364231,2.829476217,0.369189664,0.38341101,0.140211924,0.165570924,0.106381929
PI368266,2.470359003,0.340376731,0.448483937,0.180763744,0.182867417,0.116730973
PI368275,2.153844319,0.288564383,0.285568416,0.131104866,0.151705831,0.108213888
PI368277,2.717404288,0.323991371,0.419734377,0.184195061,0.190432083,0.11351638
PI368279,3.398159067,0.373194349,0.551564309,0.216111152,0.188220754,0.115494194
PI368285,2.563205221,0.290062929,0.333903938,0.167710538,0.190066603,0.125238822
PI368302,2.84243064,0.353996923,0.473719247,0.181963073,0.194907666,0.120817489
PI368305,3.149607799,0.349093963,0.457660796,0.195645471,0.20381449,0.125405
PI368329,2.780559297,0.339081766,0.443249273,0.170800464,0.189059944,0.118251789
PI368330,3.233749808,0.394033797,0.627313867,0.215621702,0.218112925,0.128996451
PI368332,2.574362949,0.365524099,0.499966519,0.176355061,0.18441045,0.115647154
PI369768,3.596609007,0.386093912,0.53796621,0.197081998,0.209691161,0.118928192
PI369795,3.008911512,0.359214864,0.451548313,0.180130637,0.186377844,0.120721587
PI374130,2.841380761,0.355191119,0.41885859,0.17663133,0.186500579,0.115131159
PI376849,3.022367205,0.371023825,0.535875677,0.197817485,0.186495,0.120221209
PI376850,3.45640026,0.403442032,0.673074936,0.225342939,0.210263381,0.129447288
PI376856,3.343068504,0.371855324,0.567984429,0.200279839,0.198252329,0.11898904
PI376923,3.304197227,0.354800443,0.436058987,0.175849661,0.222276671,0.135412872
PI376951,2.129477459,0.293313086,0.234392435,0.116114336,0.153001635,0.108252173
PI376952,2.162325897,0.29344839,0.30949075,0.150765494,0.158913066,0.108656121
PI376989,2.569537881,0.350591003,0.441817367,0.169530378,0.194175038,0.122161779
PI377014,2.494467009,0.276685861,0.315356592,0.158596098,0.170106609,0.111071157
PI377022,2.61876185,0.34864636,0.415425289,0.174275615,0.178482733,0.11871673
PI377039,2.699179511,0.358637093,0.449039179,0.176847614,0.188118522,0.113229208
PI377081,2.795983629,0.336664838,0.372457588,0.16426441,0.171856782,0.101273531
PI377138,3.367101769,0.37847837,0.517573617,0.179385007,0.196432414,0.121002869
PI377147,3.110780853,0.341800193,0.453748081,0.18122206,0.225486413,0.133796983
PI377186,2.913592289,0.359349271,0.507047576,0.188012019,0.194966442,0.12168255
PI377193,2.567188126,0.33812415,0.437323133,0.172552178,0.193284387,0.11584208
PI377195,3.340968047,0.360910079,0.541681045,0.207791448,0.199492295,0.127689994
PI377196,3.169379969,0.389988103,0.524249764,0.197970037,0.211667167,0.12622878
PI377197,2.888578044,0.334499518,0.487278605,0.20123488,0.20558116,0.119126666
PI377198,2.72862165,0.34638979,0.429213072,0.165726518,0.162721813,0.106238229
PI377202,2.631208921,0.340332719,0.49243038,0.18855489,0.21434047,0.12013773
PI377203,2.834845838,0.364202016,0.41033757,0.162524419,0.209744347,0.11902162
PI377207,2.574165584,0.319430547,0.342085654,0.152204406,0.165083624,0.107127299
PI377208,2.487809337,0.313426925,0.39624698,0.179353984,0.179564313,0.115181856
PI377217,2.714690619,0.326343329,0.320797864,0.147095532,0.165726444,0.107536699
PI377220,3.115049349,0.34824071,0.487644714,0.183231702,0.1667805,0.107089412
PI377223,2.848896522,0.349508902,0.427837002,0.167248026,0.156392463,0.108696331
PI377228,3.050603926,0.330536208,0.422428332,0.178589231,0.17625876,0.114677235
PI377231,2.660262261,0.307607065,0.401059449,0.179861485,0.182777016,0.117678519
PI377232,2.772907178,0.313387828,0.314124932,0.146152859,0.148452351,0.096732853
PI377233,2.748941465,0.348950227,0.468056162,0.187100887,0.172573564,0.113804407
PI377235,3.220881883,0.340849361,0.480076994,0.196479598,0.203661521,0.122632427
PI377236,3.214853563,0.339129617,0.460609313,0.18016868,0.223470492,0.124935044
PI377238,2.424166624,0.294825023,0.298781641,0.141453359,0.162264025,0.10689606
PI377239,2.946698162,0.332675587,0.432960825,0.180868034,0.172997994,0.110052195
PI377241,2.909857211,0.339853978,0.481023793,0.196245822,0.182069174,0.110362664
PI377242,2.685984061,0.32443299,0.394171621,0.170414706,0.170358218,0.112897876
PI377244,3.262924661,0.390780817,0.578907187,0.191701974,0.195824958,0.122257388
PI377248,3.215241041,0.36415855,0.424315022,0.165788476,0.194210964,0.115818874
PI377249,2.608435557,0.320410252,0.401996225,0.17145488,0.197595204,0.119029496
PI377250,3.060460498,0.337716823,0.413913617,0.171315001,0.20615988,0.125234817
PI377255,2.859164146,0.344928573,0.445270779,0.162428555,0.188840276,0.111368241
PI377256,2.477294631,0.311821327,0.393637594,0.177175736,0.216092506,0.123313145
PI377258,2.842179804,0.309583822,0.399182149,0.176525429,0.203347939,0.117687319
PI377259,3.113207419,0.348603619,0.469046441,0.196138235,0.1966474,0.125849528
PI377261,2.98600871,0.369350068,0.458572691,0.183712621,0.1811201,0.115516518
PI377262,2.779292592,0.324621397,0.393967398,0.190162983,0.185320822,0.111293651
PI377263,2.601462339,0.330063194,0.394236835,0.170005377,0.198983028,0.115969643
PI377265,2.15661196,0.320332647,0.318153017,0.136133625,0.169188667,0.108490098
PI377266,2.636792436,0.315989636,0.37570048,0.171568119,0.175384667,0.11278311
PI377267,2.56715416,0.316972806,0.362084241,0.16791108,0.156929584,0.106409315
PI377268,3.011566948,0.335047274,0.393084563,0.170131559,0.206968599,0.118839003
PI377271,2.713694034,0.367311887,0.505102244,0.185816354,0.197989503,0.117329284
PI377272,2.79272307,0.360191911,0.487321733,0.184505195,0.188126646,0.117594719
PI377274,2.392190656,0.358533449,0.39348989,0.151183858,0.160970739,0.104338678
PI377275,2.611906903,0.337526252,0.405597468,0.161687638,0.188382481,0.116054805
PI377276,3.022539372,0.381517976,0.58376779,0.198082892,0.198324858,0.119559969
PI377281,3.092030013,0.349669719,0.435244573,0.169956268,0.182120453,0.113157189
PI377283,2.919788357,0.342942892,0.492559837,0.194766447,0.211008317,0.127374348
PI377284,2.735135339,0.318761895,0.362998977,0.165487126,0.195094494,0.116604903
PI377286,2.25607449,0.298228621,0.281446558,0.127765152,0.145894833,0.102958143
PI377287,2.591354828,0.322641241,0.460299501,0.178613511,0.173639485,0.114308
PI377288,2.692199111,0.314493027,0.376338774,0.172511555,0.180200414,0.10805718
PI377296,2.692072252,0.332126254,0.441787425,0.169848307,0.201092802,0.123388485
PI377297,2.348080693,0.280085878,0.252639631,0.146149288,0.149582045,0.100683264
PI377298,1.458052383,0.240496391,0.148367263,0.086036345,0.112034169,0.087420009
PI377299,2.660075823,0.313877741,0.408106584,0.187458603,0.189704592,0.11586938
PI377304,2.789139323,0.361227312,0.38363667,0.149022087,0.16834202,0.111855333
PI377305,3.035123521,0.355077957,0.480588517,0.190154126,0.232434706,0.133396233
PI377306,2.767273055,0.351301242,0.435810787,0.175510331,0.188234568,0.116486122
PI377312,2.600565828,0.330108438,0.419743928,0.171617378,0.183648355,0.117374401
PI377313,2.607783544,0.347140626,0.388468483,0.146929577,0.186139655,0.113592001
PI377316,3.053387257,0.354703963,0.522803622,0.197947076,0.200479456,0.123518425
PI377338,2.760544122,0.361542758,0.479754592,0.178687003,0.193009763,0.121912941
PI377342,2.782776517,0.327292546,0.440241905,0.182993267,0.163118423,0.107496325
PI377349,2.713241454,0.368218414,0.458485762,0.180987547,0.186942797,0.119295061
PI377354,2.770860072,0.355143552,0.397405855,0.14276495,0.174601088,0.10980732
PI377363,3.155950369,0.366869614,0.458429006,0.178920093,0.181475961,0.107414985
PI385297,2.650398984,0.305558805,0.356369459,0.154060739,0.183881866,0.110949451
PI390419,3.247089365,0.361772897,0.56270287,0.226128995,0.221783043,0.137427256
PI413223,2.939089117,0.362196316,0.501829762,0.190502768,0.187345487,0.117758904
PI424964,2.877630987,0.360639518,0.425773932,0.175354514,0.157574049,0.109645409
PI424984,3.340831456,0.377610079,0.551310795,0.19825667,0.20889758,0.129341597
PI425029,3.162454495,0.375398472,0.508246413,0.186945276,0.196628226,0.121498203
PI425038,2.979350825,0.380370899,0.588508583,0.213569503,0.230736385,0.143060065
PI425045,4.04601734,0.411078999,0.583313477,0.191425904,0.211170896,0.123464218
PI425085,3.91074603,0.409858972,0.64835148,0.217396915,0.212137833,0.131529852
PI425130,2.639480795,0.30912585,0.422302696,0.197976127,0.199996092,0.123799962
PI425136,2.584069038,0.31530611,0.379559336,0.174963678,0.186373402,0.116447368
PI425138,2.835150413,0.353879575,0.421450911,0.174335209,0.197597567,0.126075205
PI425160,3.328766792,0.381087022,0.510419678,0.215663984,0.181281208,0.115299108
PI425167,3.740991471,0.411942692,0.657350481,0.227393285,0.198173173,0.116890524
PI425169,3.198578412,0.397945594,0.512163197,0.18583074,0.186142194,0.117056271
PI425192,2.269411079,0.330386866,0.44464026,0.18557273,0.205479687,0.123569567
PI425201,3.027057489,0.353258543,0.507462075,0.203427575,0.220115825,0.130658368
PI425219,3.026253896,0.3608734,0.481014191,0.197015287,0.186666276,0.120559467
PI425229,3.306094815,0.375566953,0.606970291,0.220413763,0.218588429,0.130415602
PI425240,3.738370933,0.379574652,0.585648842,0.220395724,0.20493751,0.128104775
PI425254,2.430534491,0.331833284,0.361462522,0.158079984,0.170254863,0.110503349
PI425259,3.219777433,0.400132617,0.591445822,0.216115939,0.173574904,0.107111135
PI425261,2.988451502,0.346983196,0.44587929,0.183006849,0.181634318,0.117713859
PI425264,2.963306681,0.333708628,0.435115162,0.18184732,0.183530615,0.120875478
PI425269,3.466130812,0.391011641,0.611882448,0.224192403,0.216975927,0.123518879
PI425271,2.942783251,0.390640284,0.553252559,0.18713228,0.190374214,0.116670312
PI425274,2.72772171,0.348288284,0.446826189,0.173063034,0.159094773,0.106374381
PI425330,3.084933656,0.373770628,0.518343144,0.196817172,0.196756753,0.121125247
PI425385,3.045916204,0.332436505,0.377894337,0.165580047,0.182415227,0.118748485
PI425387,2.420736779,0.304126459,0.287273016,0.145268497,0.179615311,0.106933021
PI425388,2.889398791,0.318141935,0.379351829,0.178101104,0.187487838,0.117961667
PI425389,2.414484051,0.300303597,0.348174361,0.147959417,0.175718196,0.111632867
PI425399,3.053289163,0.3747385,0.546454962,0.204053964,0.212633681,0.120801461
PI425413,2.816320258,0.359716279,0.466867303,0.192796179,0.187125373,0.11518045
PI425418,3.203481125,0.383951346,0.551181293,0.197827198,0.174929886,0.110455912
PI425421,2.528226821,0.305811898,0.387532076,0.172336007,0.186234228,0.113757803
PI425422,3.147834542,0.377597898,0.49501041,0.180381742,0.196882661,0.117359572
PI425423,3.346797489,0.375202104,0.516508569,0.197495961,0.204690209,0.129204115
PI425424,2.964194355,0.373314072,0.536381939,0.20311062,0.206806613,0.127112076
PI425425,3.275571015,0.372518267,0.536393741,0.210027531,0.193494146,0.12181252
PI425435,2.88963379,0.337848342,0.418424263,0.180760912,0.185853866,0.114951637
PI425446,2.959194937,0.359273396,0.514037411,0.197464947,0.207937028,0.121495641
PI425456,3.380862585,0.402959279,0.628659634,0.21615945,0.225655987,0.128525316
PI425463,3.692186734,0.411587866,0.616905312,0.224374412,0.23735329,0.13383527
PI425464,3.768713785,0.404897372,0.666880783,0.241529267,0.229228755,0.131490688
PI425481,2.784805043,0.377584577,0.526776574,0.189917961,0.187320921,0.113638731
PI425483,3.574561144,0.391692724,0.631693213,0.233318873,0.23626824,0.132436487
PI425484,2.381703886,0.305752052,0.364703889,0.165967548,0.179837571,0.118418848
PI425485,2.972403991,0.319645594,0.39422788,0.177473027,0.200654955,0.123866263
